Target,Temperature Difference [C],Type,Failure Type,Rotational speed [rpm],Torque [Nm],Air temperature [C],Process temperature [C],Tool wear [min]
0.0,10.5,1.0,0.0,0.25396825396825395,0.19999999999999968,0.3043478260869579,0.35802469135802717,0.0
0.0,10.5,0.0,0.0,-0.5026455026455027,0.4592592592592589,0.31521739130434545,0.37037037037036935,0.011857707509881422
0.0,10.399999999999977,0.0,0.0,-0.026455026455026454,0.6888888888888887,0.3043478260869579,0.34567901234567877,0.01976284584980237
0.0,10.400000000000034,0.0,0.0,-0.37037037037037035,-0.04444444444444455,0.31521739130434545,0.35802469135802717,0.02766798418972332
0.0,10.5,0.0,0.0,-0.5026455026455027,-0.007407407407407513,0.31521739130434545,0.37037037037036935,0.035573122529644265
0.0,10.5,1.0,0.0,-0.4126984126984127,0.1333333333333331,0.3043478260869579,0.35802469135802717,0.043478260869565216
0.0,10.5,0.0,0.0,0.291005291005291,0.17037037037037017,0.3043478260869579,0.35802469135802717,0.05533596837944664
0.0,10.5,0.0,0.0,0.12698412698412698,0.007407407407407513,0.3043478260869579,0.35802469135802717,0.06324110671936758
0.0,10.399999999999977,1.0,0.0,0.8677248677248677,-0.8518518518518519,0.32608695652173925,0.37037037037036935,0.07114624505928853
0.0,10.5,1.0,0.0,1.2592592592592593,-0.8962962962962964,0.3478260869565206,0.40740740740740744,0.08300395256916995
0.0,10.5,2.0,0.0,1.4761904761904763,-1.2000000000000002,0.3369565217391268,0.39506172839505904,0.09486166007905138
0.0,10.5,2.0,0.0,-0.42328042328042326,0.3111111111111108,0.3586956521739144,0.41975308641975584,0.11462450592885375
0.0,10.5,1.0,0.0,-0.8677248677248677,0.8148148148148148,0.3586956521739144,0.41975308641975584,0.13438735177865613
0.0,10.599999999999966,1.0,0.0,1.2645502645502646,-0.7481481481481482,0.3586956521739144,0.43209876543209713,0.14624505928853754
0.0,10.599999999999966,0.0,0.0,2.814814814814815,-1.5185185185185186,0.3586956521739144,0.43209876543209713,0.15810276679841895
0.0,10.599999999999966,0.0,0.0,0.20634920634920634,0.6148148148148146,0.3586956521739144,0.43209876543209713,0.1660079051383399
0.0,10.599999999999966,1.0,0.0,-1.0158730158730158,0.48148148148148145,0.3586956521739144,0.43209876543209713,0.17391304347826086
0.0,10.5,1.0,0.0,-0.49206349206349204,0.4074074074074074,0.369565217391302,0.43209876543209713,0.18577075098814227
0.0,10.399999999999977,2.0,0.0,-1.0423280423280423,1.0666666666666667,0.3804347826086958,0.43209876543209713,0.1976284584980237
0.0,10.400000000000034,1.0,0.0,0.6825396825396826,-0.5629629629629631,0.39130434782608337,0.44444444444444553,0.21739130434782608
0.0,10.400000000000034,2.0,0.0,-0.6772486772486772,0.1925925925925927,0.39130434782608337,0.44444444444444553,0.2292490118577075
0.0,10.5,0.0,0.0,-0.2804232804232804,0.3481481481481478,0.3804347826086958,0.44444444444444553,0.24901185770750986
0.0,10.400000000000034,1.0,0.0,0.4126984126984127,-0.6962962962962964,0.39130434782608337,0.44444444444444553,0.2569169960474308
0.0,10.399999999999977,0.0,0.0,1.3492063492063493,-1.0666666666666669,0.40217391304347716,0.4567901234567868,0.26877470355731226
0.0,10.399999999999977,1.0,0.0,0.30687830687830686,-0.20740740740740773,0.40217391304347716,0.4567901234567868,0.27667984189723316
0.0,10.5,0.0,0.0,1.8941798941798942,-1.2444444444444445,0.40217391304347716,0.4691358024691352,0.2885375494071146
0.0,10.399999999999977,0.0,0.0,0.047619047619047616,-0.08148148148148159,0.41304347826087096,0.4691358024691352,0.2964426877470355
0.0,10.299999999999955,2.0,0.0,1.6296296296296295,-1.1481481481481481,0.41304347826087096,0.4567901234567868,0.3043478260869565
0.0,10.299999999999955,0.0,0.0,-0.3386243386243386,0.3037037037037038,0.41304347826087096,0.4567901234567868,0.32411067193675885
0.0,10.399999999999977,0.0,0.0,1.0052910052910053,-0.7407407407407407,0.40217391304347716,0.4567901234567868,0.3320158102766798
0.0,10.399999999999977,1.0,0.0,-0.8677248677248677,0.6000000000000001,0.41304347826087096,0.4691358024691352,0.33992094861660077
0.0,10.399999999999977,0.0,0.0,1.560846560846561,-1.0814814814814815,0.40217391304347716,0.4567901234567868,0.3517786561264822
0.0,10.399999999999977,0.0,0.0,-0.4444444444444444,0.6074074074074071,0.40217391304347716,0.4567901234567868,0.35968379446640314
0.0,10.400000000000034,0.0,0.0,0.8571428571428571,-0.5629629629629631,0.39130434782608337,0.44444444444444553,0.3675889328063241
